latitude,longitude,filename
54.40885,16.40832,12893.png
50.66477,5.07966,20698.png
3.181700178,39.23396451,3317.png
31.24333,34.79733,15454.png
44.66037,19.32568,16379.png
-8.03605,112.59639,19705.png
45.30047,9.16631,10906.png
53.85857,-1.67787,22102.png
55.68225318,22.04293448,3840.png
-33.46295953,-67.53051297,2357.png
-6.97044,109.77396,19581.png
55.2031,37.86113,24738.png
47.53151,8.15938,16177.png
59.96898727,69.91921039,6971.png
41.59306,14.22992,11256.png
-1.716562087,105.3984039,8451.png
-11.33605485,-69.61542006,4952.png
2.06105,103.92885,14084.png
6.17771,6.5344,14692.png
48.43622,9.00587,24499.png
61.80418531,33.91797226,1276.png
47.83338,-122.13944,18306.png
40.24424,29.01374,24281.png
40.74257,-7.80674,20182.png
55.78719998,91.80520474,4631.png
45.71709,-73.59626,15124.png
14.55619,-90.72682,19765.png
47.58550083,97.63055694,5857.png
41.15089,-8.64257,20436.png
50.18762,8.6959,24526.png
9.725691733,-0.818733925,3328.png
37.1218,128.43329,11688.png
41.35642,-8.27373,20040.png
7.47051,4.60718,14827.png
-42.90823746,-67.68566367,8527.png
53.52688,-2.65786,21674.png
40.77386,-73.78056,18155.png
15.94187378,-13.55901662,8740.png
56.67768,-3.02922,21987.png
31.4782975,74.78264933,14876.png
40.26658,28.96076,24178.png
21.63834912,-100.7113382,7848.png
1.640963316,-60.37162125,6115.png
52.45373,-2.21231,22249.png
-48.46039548,-71.88108096,3292.png
47.75883,8.52064,16239.png
-30.21676584,-68.96843665,6175.png
-33.8764001,146.6018263,8825.png
53.97153,23.90445,14462.png
33.86854,-117.86064,16867.png
-6.560036479,-49.7729232,764.png
-27.79883739,-50.86263301,248.png
49.84421869,20.49770167,5129.png
23.62609,89.46538,11921.png
13.39092368,-11.6412023,5422.png
-26.5906833,120.2260383,8766.png
-20.28511,-43.90366,22609.png
46.2748,6.37894,16201.png
50.4009,5.03701,20807.png
-32.08009657,-61.11991748,1956.png
40.11390926,-4.94595355,15236.png
37.37899,126.73991,11486.png
12.53620031,107.5360754,3558.png
7.93655,4.66063,14845.png
13.05141929,5.187389087,1845.png
36.73878,138.33934,10517.png
-10.73944,-37.08348,22558.png
16.08158619,104.306791,9432.png
-25.34472171,151.9813453,3204.png
3.40825,98.24127,19733.png
36.06737,140.17701,10458.png
-36.84132,-73.09476,22366.png
41.63694,41.64939,15202.png
-35.16724995,-66.57061974,194.png
35.95664,36.7138,12251.png
-26.3554529,143.7858472,4947.png
42.01009,20.98001,14489.png
1.70544,103.6283,14068.png
40.4939,-74.42852,19448.png
5.42641,100.55331,14216.png
50.94517,4.61473,20660.png
61.11796025,62.29564195,8908.png
46.1351,-60.1831,15163.png
35.30369,136.93251,10423.png
43.13104682,25.13035737,1654.png
32.20848,35.54949,20480.png
42.84539,-72.08397,18586.png
-6.726412183,-38.28482132,3839.png
23.02779669,77.50686386,264.png
60.14072,24.45426,15838.png
41.89711,-70.90742,17145.png
62.35720213,41.93439553,4282.png
45.07394,-93.05619,16586.png
36.10219,140.02556,10729.png
60.29362,24.2869,15874.png
48.43269,27.81279,13526.png
59.37753,17.8468,12064.png
31.88642,35.09835,15504.png
-32.86796756,144.2742805,6033.png
28.68628,77.36518,14911.png
61.30606,16.8508,12053.png
53.22464,-7.27258,23457.png
-38.68401,178.04327,13794.png
54.68343,38.25388,24810.png
47.78336,9.01976,16331.png
-30.16461382,28.68439294,8985.png
7.62789,4.74161,14777.png
0.977235066,112.9160048,5184.png
-26.5906833,120.2260383,1015.png
50.91428,3.45033,20827.png
7.03734,80.2275,23171.png
1.36577,103.61363,13938.png
-24.86102812,142.9310106,9937.png
31.85773,35.22252,15596.png
38.84978,-9.13949,19862.png
28.05450525,-105.7495164,6788.png
47.22272845,18.465335,2635.png
41.16692,28.52636,24361.png
-28.04906,-48.6421,22554.png
44.69221944,110.0437624,659.png
6.82537,3.92532,14504.png
16.42591446,-93.16653455,9110.png
13.47536,100.98799,22835.png
13.49558,102.32027,16546.png
33.98933,-117.65652,16815.png
5.37923,100.46729,13963.png
4.50613,-74.2442,13707.png
-43.26699706,-65.19958479,2116.png
50.36666,19.14138,12829.png
47.11641,15.33725,23958.png
41.91886,8.73812,21338.png
45.81715,4.66537,21107.png
53.66477,-1.08838,22141.png
48.59986,18.09756,20863.png
32.17272,35.01882,20482.png
40.59831,-75.76827,16803.png
51.50041,5.4873,20830.png
45.91229,5.20042,21355.png
9.122726254,-1.27301811,7801.png
-34.81564155,-66.50573154,6661.png
-4.747364096,-49.06627238,312.png
6.257207596,101.983633,5693.png
12.61197958,78.72608437,3119.png
-32.89828288,26.63246189,1972.png
-0.28274,36.0483,19787.png
-34.99962,-58.05416,13229.png
8.1624,-72.45862,13558.png
44.20268,142.32887,10662.png
-27.7391874,-49.94700749,7891.png
44.62583,22.64246,22682.png
13.58695,102.94607,16514.png
4.176803404,-60.6860231,2967.png
-13.48568985,-61.08259786,5720.png
-24.55432,29.44766,15646.png
-31.35821776,131.368435,6380.png
4.750340134,-76.28536347,3057.png
-0.42312022,36.01891188,1505.png
17.38011535,-101.1181987,9954.png
18.82401677,-97.0057333,7429.png
-30.19151088,149.3273018,8520.png
-29.31309162,25.06742436,4359.png
40.23647,-74.73202,17565.png
-8.514113822,-70.04225759,3933.png
-7.664777803,108.4151947,8235.png
39.79298,-105.00784,18937.png
38.72030849,42.40157914,9621.png
60.4438471,29.94427047,1281.png
-18.03598999,-48.54832508,1637.png
45.15119,9.31059,11103.png
25.12470881,-102.6369334,5912.png
35.81623,127.01614,11710.png
-6.065267055,-36.42031066,8203.png
23.3651985,81.04792631,6213.png
51.67038,33.91238,20572.png
-36.77757,-73.10818,22348.png
-20.61744899,-44.52870052,8721.png
33.96891,-84.39212,19219.png
-13.47426548,-44.96598468,8532.png
47.68805639,108.2263574,8421.png
-28.29699,115.1317796,3962.png
60.36686,25.30131,15865.png
4.85232,-74.48434,13731.png
50.87331,4.81602,20780.png
50.211799,19.10731968,1166.png
50.17281,27.03368,20551.png
40.14587,18.06199,11108.png
-23.44361,-51.87389,22612.png
42.59319,-1.34523,15333.png
10.91846,-74.86529,13763.png
48.4114,17.48681,21015.png
10.02056113,8.936191319,425.png
28.65412,-81.18142,18376.png
40.26601,-86.16518,16780.png
-16.57404567,-68.98591725,2000.png
-30.43668515,147.58603,9378.png
-2.11584,-79.90009,11279.png
53.98079276,20.52078874,4903.png
31.09147,35.22899,15559.png
50.72587,15.16162,12744.png
46.51268,6.4928,16113.png
53.94779355,-7.368339321,65.png
35.83434,139.75253,10372.png
-22.99793428,136.1231146,8919.png
-35.93072477,-62.81092224,3882.png
-28.76457524,28.58396633,894.png
31.39616,-102.4217,18087.png
42.50729,1.53414,14268.png
39.2158,-76.7084,17657.png
46.04941681,20.10731275,383.png
45.59629,8.83267,11046.png
-35.25578331,-62.59880424,2880.png
7.771342955,80.34701061,1708.png
37.20626,-8.17934,20312.png
59.86319931,17.3514503,6918.png
-45.23402784,-71.38403258,3012.png
41.18393,-8.05747,20076.png
22.94309,91.50765,11938.png
48.3495,16.44269,23845.png
49.74023,18.78988,12604.png
16.77205925,-3.006939635,7254.png
-16.19839,-68.71596,24005.png
-7.3593,111.08995,19640.png
35.23584316,24.98280882,4775.png
40.62979,-75.53952,18941.png
35.54002,51.24588,22916.png
